name,review-count,cuisines,cost for 2,timings,rating
Pizza Club,16 reviews,"Pizza, Italian",₹300,11 AM to 11 PM,2.7
Juice On Go,12 reviews,"Juices, Beverages",₹200,9 AM to 9 PM,3.2
Grover Sweets,4 reviews,"Mithai, Street Food",₹400,7 AM to 11 PM,-
Lunia Italian,15 reviews,"Italian, Fast Food",₹150,11 AM to 12 Midnight,3.1
Himcream,7 reviews,"Ice Cream, Fast Food",₹150,8 AM to 1 AM,2.8
Bunny Burgers,9 reviews,"Fast Food, Burger",₹400,11 AM to 11 PM,3.0
Wrap & Roll,12 reviews,"Fast Food, Chinese",₹500,9 AM to 11 PM,2.6
Sagar Choley Bhatoorey,15 reviews,Street Food,₹500,7 AM to 11:30 PM,2.4
Bhanu Ke Mashoor Chole Bhature,10 reviews,"South Indian, Street Food",₹500,11 AM to 10 PM,3.2
Pick Fresh Fish,9 reviews,"Raw Meats, Fast Food",₹500,12 Noon to 12 Midnight,2.9
Ganesha Sweets and Restaurant,11 reviews,"North Indian, Chinese",₹150,10 AM to 11 PM,3.2
Ruby Dhaba,16 reviews,North Indian,₹600,8 PM to 4 AM,3.0
Ganesha Sweets and Restaurant,11 reviews,"North Indian, Chinese",₹300,9 AM to 10 PM,3.2
Ruby Dhaba,16 reviews,North Indian,₹500,11 AM to 10:30 PM,2.6
Bobby Tikki Wala,7 reviews,Street Food,₹500,7 PM to 4 AM,2.9
Dhaba On Wheels,13 reviews,"North Indian, Mughlai",₹400,"11 AM to 11 PM (Mon, Wed-Sun), Tue Closed",3.2
Ram Parshad Makhan Lal,9 reviews,"Desserts, North Indian, Street Food, Bakery",₹500,11 AM to 11 PM,3.4
Biryani Trails,3 reviews,"Biryani, Mughlai",₹200,"8 AM to 9 PM (Mon-Sat), Sun Closed",3.3
Chocopur,12 reviews,"Bakery, Desserts",₹250,10:30 AM to 10:30 PM,3.2
China Fast Food,12 reviews,"Chinese, Street Food",₹700,8 AM to 11 PM,3.4
Yo! India,14 reviews,North Indian,₹600,"6 PM to 11:45 PM (Mon, Wed-Sun), Tue Closed",3.3
Shri Shyam Ji Ke Mashhoor Chhole Bhature,10 reviews,Street Food,₹400,8 AM to 10:30 PM,2.5
SnackKerz,9 reviews,"Chinese, Street Food",₹300,10 AM to 10 PM,3.3
Tandoori Dragon,10 reviews,"Chinese, North Indian, Mughlai","₹2,000","12 Noon to 3 PM, 6 PM to 11 PM",3.1
Mikky Peshawari Chic and Fish,7 reviews,"North Indian, Chinese",₹250,"12 Noon to 4 PM, 6 PM to 10:30 PM",-
Sizzling Cuisine,8 reviews,"North Indian, Mughlai, Chinese","₹2,700",2 PM to 11 PM,2.8
Bangla Pastry Shop,13 reviews,"North Indian, South Indian, Chinese, Fast Food",₹400,11 AM to 11:30 PM,3.2
The Lounge - Hyatt Regency,3 reviews,Finger Food,₹300,11 AM to 10:30 PM,3.0
Cakewalk Deli,2 reviews,Bakery,₹600,"10:30 AM to 10:30 PM (Mon-Thu), 10:30 AM to 11 PM (Fri-Sun)",3.2
Splash - The Westin Gurgaon,4 reviews,Continental,₹700,11 AM to 11 PM,3.3
Cakekart,2 reviews,Bakery,₹350,11 AM to 11 PM,3.3
Aman Restaurant,3 reviews,"Bakery, Fast Food",₹500,11 AM to 11 PM,3.0
Dil se Desi,6 reviews,North Indian,₹350,11 AM to 11 PM,3.2
Birnani - Nani ki Biryani,12 reviews,"Mughlai, Chinese, European",₹500,12 Noon to 10:30 PM,2.7
Vaishno Rasoi,7 reviews,North Indian,₹350,10 AM to 8 PM,3.0
Pizza Castle,14 reviews,"Pizza, Fast Food",₹250,10 AM to 10 PM,3.2
Cafe 'd' Chaat,8 reviews,"South Indian, Chinese, Fast Food, Street Food",₹200,7:30 AM to 10:30 PM,3.3
Dabas,7 reviews,"North Indian, Mughlai, Chinese",₹300,"1 PM to 11 PM (Tue-Sun), Mon Closed",3.2
Shankar Fast Food,8 reviews,"Chinese, North Indian, South Indian",₹300,"11 AM to 10:30 PM (Mon, Wed-Sun), Tue Closed",2.8
Grand Plaza,7 reviews,"Bakery, Desserts",₹600,9 AM to 11 PM,3.2
Shri Bikaner Sweets,9 reviews,"Desserts, Street Food",₹250,7 PM to 11 PM,3.4
Babbu Da Punjabi Dhaba,7 reviews,North Indian,₹300,9 AM to 10 PM,3.2
Uncle John's Burger,18 reviews,"Continental, European, Fast Food","₹1,200",11 AM to 10 PM,3.2
Plaza's Frontier,15 reviews,"North Indian, Mughlai, Chinese",₹300,2 PM to 11:30 PM,3.2
Cakes & Bakes,3 reviews,"Bakery, Fast Food, North Indian","₹1,500",6 AM to 8 PM,3.2
New Zaika Dhaba,7 reviews,North Indian,₹600,9 AM to 11 PM,3.4
ViaGoa,14 reviews,Goan,₹400,6 AM to 8 PM,3.3
Shree Bikaner Misthan Bhandar,1 Review,"Mithai, Street Food, Chinese","₹1,200",9 AM to 11 PM,3.2
Cooks Cafe - Jaypee Greens,8 reviews,"Continental, North Indian","₹3,000","11 AM to 11 PM (Mon, Wed-Sun), Tue Closed",3.3
Hunger Stop,8 reviews,"North Indian, Mughlai",₹100,11 AM to 12 Midnight,3.2
Pizza Day,8 reviews,"Pizza, Fast Food",₹600,11 AM to 11 PM,3.2
Curry Leaf - Milennium Hotel,8 reviews,"North Indian, Chinese, Continental",₹500,"11 AM to 11 PM (Mon, Wed-Sun), Tue Closed",2.8
Patiala Peg - The Imperial,4 reviews,Finger Food,"₹1,000",24 Hours,2.8
Shri Bikaner Sweets,3 reviews,"Desserts, Street Food",₹800,"11 AM to 4 PM, 7 PM to 11 PM",3.3
Al-Malik,8 reviews,"North Indian, Mughlai, Chinese",₹600,9 AM to 10 PM,3.3
Punjabi Mirchi,2 reviews,North Indian,₹450,7:30 AM to 11 PM,3.2
Mints - Radisson Blu,4 reviews,Cafe,₹600,10 AM to 12 Midnight,3.3
Malhotra Restaurant,12 reviews,"North Indian, Chinese, Continental, Italian",₹300,12 Noon to 11 PM,3.3
Candle Light,8 reviews,"North Indian, Chinese","₹1,200",7 AM to 10 PM,2.9
Public Cafe,11 reviews,"Fast Food, Chinese, Italian",₹450,11 AM to 10:30 PM,3.3
Wong China,13 reviews,Chinese,₹900,10 AM to 12 Midnight,3.2
Arjun Sweets and Snacks,12 reviews,"North Indian, South Indian, Continental",₹300,12 Noon to 10:30 PM,3.3
Angelica Dining,13 reviews,"Continental, North Indian, Chinese",₹550,11 AM to 11 PM,3.3
Barun Chinese Food,7 reviews,Chinese,₹250,11 AM to 10:30 PM,3.2
Status Family Restaurant & Bar,14 reviews,"North Indian, Chinese",₹350,12 Noon to 12 Midnight,2.6
Monga Sweets,8 reviews,"Desserts, Street Food, Fast Food",₹500,"11 AM to 3:30 PM, 7 PM to 11 PM",3.3
Midnite Feast,10 reviews,"Fast Food, North Indian",₹600,11 AM to 10:30 PM,3.2
Kerala Dosa House,10 reviews,South Indian,₹300,11 AM to 11 PM,3.3
Metro Fast Food,20 reviews,"Chinese, Fast Food",₹500,11 AM to 11 PM,2.8
Thela,17 reviews,"North Indian, Fast Food, Chinese",₹300,11 AM to 11 PM,2.7
Not Just Tikkas,10 reviews,North Indian,₹500,12 Noon to 11 PM,3.0
Kathi Junction,13 reviews,Fast Food,₹450,10 AM to 11:45 PM,-
Fig,16 reviews,Healthy Food,₹200,"11:30 AM to 4 PM, 7 PM to 10 PM",3.3
Shanghai Kitchen,13 reviews,"Chinese, Fast Food",₹100,7 AM to 10 PM,3.4
Laalwala's,14 reviews,"North Indian, Chinese, South Indian, Street Food, Mithai",₹450,"11 AM to 4 PM, 7 PM to 11 PM",3.3
Punjabi Flavours,5 reviews,North Indian,₹400,11 AM to 11 PM,2.8
Choudhary Gohana Famous Jalebi,1 Review,Street Food,₹250,8 AM to 11 PM,3.1
Chaat Chatore,10 reviews,Street Food,₹700,11 AM to 10:30 PM,3.2
Punjabi Chaap Corner,9 reviews,North Indian,₹650,11 PM to 6 AM,2.7
Food Frolic Restaurant,5 reviews,"North Indian, Chinese",₹400,9:30 AM to 11 PM,2.8
Deli Cafe,10 reviews,"Chinese, Fast Food, Italian","₹1,000",11 AM to 11 PM,2.7
Rebellion Cafe,13 reviews,"North Indian, Fast Food",₹400,11 AM to 11 PM,2.9
Green Mint Foods,15 reviews,"North Indian, Fast Food",₹600,"12:30 PM to 11 PM (Mon, Thu-Sun), 12 Noon to 11 PM (Wed), Tue Closed",3.4
Dosa Delight,4 reviews,South Indian,₹350,9:30 AM to 10:30 PM,3.2
La Pino'z Pizza,10 reviews,"Pizza, Italian",₹500,11 AM to 10 PM,2.9
Pink Pepper,7 reviews,"North Indian, Chinese",₹500,8 AM to 10 PM,2.7
Swaad,4 reviews,"North Indian, Chinese",₹350,12 Noon to 12 Midnight,3.1
Baker's Zone,3 reviews,"Bakery, Desserts, Fast Food",₹100,"12 Noon to 3 PM, 7:30 PM to 10:30 PM",2.7
FoodBuzz,9 reviews,"Cafe, Continental, Italian, Chinese",₹350,10 AM to 10:30 PM,3.2
