name,review-count,cuisines,cost for 2,timings,rating
Earth Plate,283 reviews,"Continental, North Indian, Chinese",₹750,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.4
Café Mezzuna,390 reviews,"Mediterranean, European","₹1,200","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.2
Aroi,467 reviews,"Chinese, Thai, Vietnamese, Malaysian, Singaporean, Burmese","₹1,100","12 Noon to 3 PM, 7 PM to 11 PM",4.0
Kumarakom,586 reviews,"Kerala, South Indian",₹600,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Fri), 8 AM to 10:30 AM, 12 Noon to 3:30 PM, 7 PM to 11 PM (Sat-Sun)",3.7
New Punjabi Food Corner,237 reviews,North Indian,₹350,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.7
Chalo Punjab,284 reviews,North Indian,₹750,"12 Noon to 3 PM, 7 PM to 11 PM",4.0
Anjappar,423 reviews,"Chettinad, South Indian",₹650,11:30 AM to 11:30 PM,3.5
Berry'd Alive,734 reviews,Desserts,₹400,11:30 AM to 11:30 PM,4.2
Northam's Pizza.Pita,270 reviews,"Italian, Pizza",₹450,"11 AM to 4 PM, 6 PM to 10 PM (Mon, Wed-Thu), 11 AM to 4 PM, 6 PM to 10:30 PM (Fri-Sun), Tue Closed",3.9
Chalo Punjab,284 reviews,North Indian,₹750,"12 Noon to 3 PM, 7 PM to 11 PM",4.0
Anjappar,423 reviews,"Chettinad, South Indian",₹650,11:30 AM to 11:30 PM,3.5
The Egg Factory,649 reviews,"Continental, Mexican",₹650,8 AM to 11 PM,3.9
Northam's Pizza.Pita,270 reviews,"Italian, Pizza",₹450,"11 AM to 4 PM, 6 PM to 10 PM (Mon, Wed-Thu), 11 AM to 4 PM, 6 PM to 10:30 PM (Fri-Sun), Tue Closed",3.9
Hunan,675 reviews,"Chinese, Thai, Seafood","₹1,600","12 Noon to 4 PM, 7 PM to 11:30 PM",4.0
Happy Brew,719 reviews,"Continental, American, Chinese","₹1,000","11 AM to 11 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",3.4
Mishmash,422 reviews,"Mediterranean, Continental, North Indian, Mughlai","₹1,800","11 AM to 11:30 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",3.2
Delicacy,193 reviews,"Chinese, Thai",₹450,"12 Noon to 3 PM, 7 PM to 10:45 PM",3.7
Hanoi - Vietnamese Cuisine,341 reviews,Vietnamese,"₹1,500","11:30 AM to 11:30 PM (Mon-Fri), 11 AM to 11 PM (Sat-Sun)",3.8
Windmills Craftworks,1485 reviews,"American, North Indian","₹2,500","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.6
Whitefield Social,532 reviews,"Continental, American","₹1,500",9 AM to 1 AM (Mon-Sun),3.8
Berry'd Alive,879 reviews,Desserts,₹400,11:30 AM to 11:30 PM,4.2
Paradise,316 reviews,"Hyderabadi, Chinese, North Indian",₹750,11 AM to 11 PM,3.9
The Only Place,928 reviews,"Italian, American, Steakhouse, Continental","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 11 PM (Fri-Sun)",3.8
Nasi And Mee,520 reviews,"Malaysian, Thai, Singaporean","₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Fri-Sat)",4.2
Taaza Thindi,938 reviews,South Indian,₹150,"7 AM to 12 Noon, 4:30 PM to 9:30 PM",4.9
The Glass House - Deli Bistro Bar,777 reviews,"American, Continental, Japanese, European","₹2,000","11 AM to 11 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",4.0
Chianti,621 reviews,Italian,"₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Fri), 12 Noon to 11 PM (Sat-Sun)",4.5
Rasta Cafe,1063 reviews,"Cafe, Continental","₹1,000","24 Hours (Tue-Sun), Mon Closed",3.5
Hakuna Matata,624 reviews,"North Indian, Asian, Seafood","₹1,200",12:30 PM to 11:30 PM,4.0
Red Fork,484 reviews,"Burger, Parsi",₹800,"9 AM to 10:30 PM (Tue-Sun), Mon Closed",3.9
Herbs & Spices,331 reviews,"Italian, North Indian","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",3.7
The Fat Chef,625 reviews,"American, Italian, North Indian, Asian","₹1,400","11 AM to 3:30 PM, 6 PM to 11 PM (Tue-Fri), 11 AM to 11 PM (Sat-Sun), Mon Closed",4.0
Lakeview Milkbar,325 reviews,"Cafe, Desserts, Bakery",₹500,9 AM to 12 Midnight,3.8
1522 - The Pub,458 reviews,"Chinese, Continental, North Indian","₹1,100","11 AM to 11 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",3.8
Holy Flames,438 reviews,"North Indian, Chinese, Italian","₹1,400","12 Noon to 3:30 PM, 6:30 PM to 11 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 11 PM (Fri-Sun)",3.5
Cafe Thulp,1016 reviews,"American, Burger","₹1,000",12 Noon to 11 PM,3.8
Bhukkad,199 reviews,"Fast Food, Healthy Food",₹400,12 Noon to 10 PM,3.9
Barbeque Nation,1394 reviews,"North Indian, European, Mediterranean","₹1,800","12 Noon to 3 PM, 6:30 PM to 11 PM",4.4
Ginger Tiger,530 reviews,"Chinese, Asian",₹950,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12 Noon to 3:30 PM, 7 PM to 1 AM (Fri-Sat)",3.5
Ginger Tiger,530 reviews,"Chinese, Asian",₹950,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12 Noon to 3:30 PM, 7 PM to 1 AM (Fri-Sat)",3.5
